Wavenumber	BacVan30_1	BacVan30_2	BacVan30_3	BacVan30_4	BacVan30_5	BacVan30_6	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6
1174	0.310726	0.410741	0.31172	0.186927	0.194243	0.247186	0.369881	0.263808	0.345786	0.198981	0.239987	0.261611
1176	0.304739	0.401706	0.314712	0.189963	0.198053	0.242883	0.35953	0.254234	0.346674	0.19928	0.239908	0.255618
1178	0.307144	0.394445	0.312096	0.182784	0.192143	0.243099	0.352811	0.252009	0.340774	0.188002	0.240096	0.257472
1180	0.308323	0.396187	0.310887	0.180925	0.186715	0.245271	0.349254	0.258386	0.341642	0.18774	0.239493	0.256429
1182	0.311975	0.396351	0.306494	0.180599	0.193678	0.243277	0.353349	0.262642	0.351768	0.194868	0.248731	0.256316
1184	0.309567	0.394268	0.303563	0.187044	0.198242	0.240619	0.358861	0.257472	0.355804	0.192903	0.248983	0.262448
1186	0.309861	0.399086	0.313537	0.191031	0.188795	0.242833	0.356141	0.250316	0.347593	0.186126	0.246497	0.263506
1188	0.319452	0.412683	0.313848	0.188109	0.187228	0.246968	0.367706	0.261531	0.346428	0.187135	0.24001	0.279262
1190	0.337951	0.421494	0.323045	0.193905	0.193396	0.256323	0.381769	0.261402	0.363886	0.196446	0.248586	0.288266
1192	0.342839	0.434182	0.335392	0.193494	0.199226	0.260363	0.393487	0.262903	0.375592	0.206982	0.258736	0.293163
1194	0.34691	0.44637	0.343145	0.196942	0.200168	0.272507	0.397861	0.275228	0.383787	0.212496	0.262205	0.301403
1196	0.358836	0.457907	0.358416	0.200512	0.203556	0.284785	0.414972	0.293476	0.394458	0.218127	0.274932	0.305072
1198	0.352588	0.462003	0.352215	0.199204	0.200418	0.272879	0.412576	0.280783	0.390407	0.213201	0.267717	0.301242
1200	0.343895	0.467702	0.343589	0.197383	0.196052	0.256315	0.409241	0.263125	0.384771	0.206348	0.257681	0.295914
1202	0.330974	0.476172	0.330766	0.194676	0.189562	0.231694	0.404285	0.236877	0.376393	0.196162	0.242762	0.287994
1204	0.336111	0.500907	0.348355	0.205042	0.192464	0.22306	0.408991	0.259757	0.383914	0.218626	0.264662	0.296388
1206	0.343156	0.524125	0.365499	0.204239	0.206846	0.256438	0.433673	0.279241	0.400242	0.22615	0.294779	0.321253
1208	0.376386	0.54124	0.390993	0.224041	0.217833	0.278564	0.449617	0.287811	0.411729	0.218904	0.295213	0.331316
1210	0.421667	0.569464	0.405976	0.236768	0.231666	0.296846	0.462377	0.314702	0.428452	0.221602	0.288809	0.350832
